"Código","Municipio","Hombres","Mujeres"," Variación 2009-2010 "
22001,"Abiego",148,133,-5
22002,"Abizanda",68,64,6
22003,"Adahuesca",79,87,-2
22004,"Agüero",94,70,-2
22006,"Aisa",206,156,-32
22007,"Albalate de Cinca",647,590,32
22008,"Albalatillo",124,119,9
22009,"Albelda",450,397,-14
22011,"Albero Alto",76,56,9
22012,"Albero Bajo",51,45,-7
22013,"Alberuela de Tubo",182,173,-3
22014,"Alcalá de Gurrea",139,139,-4
22015,"Alcalá del Obispo",321,170,62
22016,"Alcampell",400,382,-11
22017,"Alcolea de Cinca",619,545,-22
22018,"Alcubierre",227,206,-7
22019,"Alerre",114,109,-5
22020,"Alfántega",61,64,-10
22021,"Almudévar",1.311,1.243,2
22022,"Almunia de San Juan",349,315,10
22023,"Almuniente",286,273,-8
22024,"Alquézar",172,141,-8
22025,"Altorricón",823,683,-12
22027,"Angüés",226,203,-2
22028,"Ansó",248,243,-6
22029,"Antillón",81,69,-6
22032,"Aragüés del Puerto",66,62,-4
22035,"Arén",195,168,43
22036,"Argavieso",72,47,-6
22037,"Arguis",66,52,7
22039,"Ayerbe",565,554,-6
22040,"Azanuy-Alins",88,86,-20
22041,"Azara",99,101,-3
22042,"Azlor",66,69,-1
22043,"Baélls",69,51,1
22044,"Bailo",179,117,53
22045,"Baldellou",66,51,3
22046,"Ballobar",494,487,-6
22047,"Banastás",144,126,2
22048,"Barbastro",8.361,8.719,156
22049,"Barbués",53,45,-5
22050,"Barbuñales",57,52,2
22051,"Bárcabo",76,53,5
22052,"Belver de Cinca",729,633,-18
22053,"Benabarre",623,554,-22
22054,"Benasque",1.157,1.062,19
22055,"Berbegal",229,212,-9
22057,"Bielsa",258,253,3
22058,"Bierge",145,113,-4
22059,"Biescas",891,743,-41
22060,"Binaced",767,727,-34
22061,"Binéfar",4.938,4.469,-37
22062,"Bisaurri",105,103,-18
22063,"Biscarrués",120,108,-6
22064,"Blecua y Torres",115,93,16
22066,"Boltaña",576,475,16
22067,"Bonansa",55,47,6
22068,"Borau",47,34,10
22069,"Broto",288,254,-5
22072,"Caldearenas",139,107,0
22074,"Campo",178,177,109
22075,"Camporrélls",105,88,-3
22076,"Canal de Berdún",215,181,-5
22077,"Candasnos",213,196,-10
22078,"Canfranc",343,281,-1
22079,"Capdesaso",73,90,2
22080,"Capella",190,176,-16
22081,"Casbas de Huesca",159,140,-5
22082,"Castejón del Puente",208,191,-25
22083,"Castejón de Monegros",346,315,-9
22084,"Castejón de Sos",421,367,1
22085,"Castelflorite",68,62,-6
22086,"Castiello de Jaca",139,117,-9
22087,"Castigaleu",63,56,-2
22088,"Castillazuelo",92,101,-6
22089,"Castillonroy",181,197,-12
22090,"Colungo",83,64,-10
22094,"Chalamera",67,61,-7
22095,"Chía",61,44,4
22096,"Chimillas",173,186,18
22099,"Esplús",344,333,-4
22102,"Estada",135,101,-1
22103,"Estadilla",419,441,-6
22105,"Estopiñán del Castillo",97,80,-4
22106,"Fago",15,11,-5
22107,"Fanlo",85,53,-11
22109,"Fiscal",179,138,-13
22110,"Fonz",526,509,1
22111,"Foradada del Toscar",114,101,-11
22112,"Fraga",7.509,7.030,237
22113,"Fueva (La)",324,295,-7
22114,"Gistaín",80,65,-9
22115,"Grado (El)",257,236,-13
22116,"Grañén",995,935,-108
22117,"Graus",1.910,1.790,35
22119,"Gurrea de Gállego",862,802,-42
22122,"Hoz de Jaca",34,37,1
22124,"Huerto",140,132,-6
22125,"Huesca",25.444,26.903,288
22126,"Ibieca",61,47,-2
22127,"Igriés",325,302,29
22128,"Ilche",130,116,-13
22129,"Isábena",168,145,-14
22130,"Jaca",6.651,6.723,-22
22131,"Jasa",70,46,-9
22133,"Labuerda",88,79,-5
22135,"Laluenga",121,99,-13
22136,"Lalueza",575,526,-31
22137,"Lanaja",743,674,-43
22139,"Laperdiguera",53,49,0
22141,"Lascellas-Ponzano",84,70,3
22142,"Lascuarre",85,72,-1
22143,"Laspaúles",170,127,-12
22144,"Laspuña",157,132,-5
22149,"Loarre",206,165,-5
22150,"Loporzano",301,239,-2
22151,"Loscorrales",53,55,-6
22155,"Monesma y Cajigar",56,50,-5
22156,"Monflorite-Lascasas",167,145,16
22157,"Montanuy",167,118,-11
22158,"Monzón",8.835,8.280,73
22160,"Naval",133,132,-1
22162,"Novales",89,92,1
22163,"Nueno",312,245,2
22164,"Olvena",27,31,-3
22165,"Ontiñena",297,289,-16
22167,"Osso de Cinca",378,357,-47
22168,"Palo",14,10,-4
22170,"Panticosa",412,407,-13
22172,"Peñalba",393,368,20
22173,"Peñas de Riglos (Las)",162,106,-4
22174,"Peralta de Alcofea",314,304,-21
22175,"Peralta de Calasanz",132,103,3
22176,"Peraltilla",105,95,2
22177,"Perarrúa",56,56,14
22178,"Pertusa",66,47,3
22181,"Piracés",61,43,8
22182,"Plan",175,161,4
22184,"Poleñino",123,103,4
22186,"Pozán de Vero",121,123,-6
22187,"Puebla de Castro (La)",219,214,5
22188,"Puente de Montañana",65,83,-7
22189,"Puértolas",133,108,2
22190,"Pueyo de Araguás (El)",89,61,-3
22193,"Pueyo de Santa Cruz",188,181,-1
22195,"Quicena",156,146,-3
22197,"Robres",327,303,-2
22199,"Sabiñánigo",5.304,5.079,5
22200,"Sahún",193,167,-8
22201,"Salas Altas",164,147,6
22202,"Salas Bajas",66,83,13
